dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
51,642,9979,7,518,2794,46,447,573,87
92,196,7306,67,711,6136,9,735,7206,55
14,386,2501,2,705,6184,36,537,9043,34
71,935,4899,42,581,3100,5,505,1105,68
60,250,9809,35,50,6391,64,113,992,87
20,827,73,20,802,6673,81,687,9061,84
82,965,4065,84,435,5914,78,934,4868,39
86,462,9877,20,534,2771,69,463,8502,54
74,378,5654,7,909,8659,93,305,7600,93
74,709,7793,33,244,5202,98,843,8589,47
87,22,6623,53,580,9439,66,613,8799,48
99,699,6442,59,44,4197,39,792,2653,76
23,797,762,4,38,6516,34,83,7267,53
2,166,8872,92,262,8066,68,598,8519,6
21,167,8778,91,848,4736,32,881,3907,51
52,559,1557,76,845,5148,34,677,7301,72
1,212,9878,24,21,7047,31,591,9144,17
87,812,2136,12,714,9560,67,729,8214,1
29,36,3369,47,412,4050,23,91,9760,42
37,405,7282,67,136,6072,96,116,7832,36
1,51,7633,81,216,2,75,534,2987,62
63,769,2683,11,850,7101,20,356,3420,58
59,13,5271,84,726,7807,13,545,3956,36
20,529,6539,46,808,634,70,711,2258,81
32,113,4115,55,966,539,26,187,4672,35
75,177,2151,99,151,9489,77,646,744,40
57,782,2217,60,568,3631,58,294,2981,87
21,804,6645,13,54,4230,73,250,4358,22
88,385,398,73,863,8393,13,300,3333,77
48,118,5297,34,203,4485,87,918,5045,97
90,874,406,11,96,616,72,591,2953,95
58,851,6271,21,228,570,28,442,2548,24
41,329,4128,83,403,1311,89,12,6107,81
91,580,6712,61,510,2592,91,437,831,38
59,31,1063,1,740,8001,18,57,7817,67
79,961,2625,1,664,5891,40,536,7620,18
14,747,7857,60,990,3673,20,861,2143,58
61,752,4068,11,0,9561,13,563,3590,92
61,312,1099,99,249,4216,21,899,3626,61
46,245,3017,96,240,2594,80,515,4081,5
61,316,2360,71,647,9903,4,832,1528,11
50,772,1102,59,588,156,97,170,1822,96
54,852,7727,25,116,2044,70,930,7032,13
63,657,7787,48,335,3513,96,826,4479,75
2,815,1896,48,39,3597,18,911,2074,35
50,295,667,51,74,3271,89,174,5402,75
6,67,705,52,690,1496,39,417,6874,51
20,863,7788,2,943,2960,13,877,6443,62
72,995,2061,84,659,7370,47,879,1847,19
38,55,3186,1,356,2668,57,651,6143,92
17,899,2103,72,356,1196,12,390,9919,56
3,656,10,29,847,1717,45,489,7445,10
88,51,8005,34,78,9785,86,429,7403,39
59,636,633,84,727,7232,2,637,7918,8
13,446,8039,87,625,7301,95,855,5374,14
8,937,3015,53,530,5934,47,511,1097,87
89,416,3710,51,346,5596,19,873,4730,21
52,981,7088,34,494,6302,16,26,8071,72
1,785,1740,61,437,8779,3,827,2008,54
83,410,4646,56,337,9080,50,521,2700,88
91,127,6970,64,906,324,83,881,7802,73
59,974,1041,87,389,2421,41,76,4516,11
70,444,179,25,376,1251,7,901,8273,53
43,24,3547,10,337,4907,73,532,603,46
7,60,3075,46,6,6811,2,281,5959,91
46,905,9505,51,154,5300,81,400,9053,34
34,335,7756,50,598,5183,78,912,7570,55
77,387,3585,91,97,9062,19,489,8864,56
80,639,6895,58,268,1767,41,698,5665,80
35,670,1926,75,176,8140,94,675,6069,84
49,762,9560,80,750,630,88,12,3166,78
3,799,9853,33,255,4631,3,781,3357,13
1,663,9189,18,684,3173,67,548,7737,48
5,314,2242,20,896,557,93,488,6069,11
53,913,3002,57,216,7687,10,131,9141,89
3,991,4070,95,249,6732,21,138,4357,94
53,884,9339,43,650,1654,69,628,4131,75
92,603,8456,30,153,967,68,573,933,66
62,202,6861,36,829,2351,81,38,5097,26
17,199,8724,29,863,4723,71,9,1287,55
89,704,9662,10,908,8060,6,489,6744,23
43,885,6025,67,59,9707,31,9,284,61
33,897,2166,15,462,7020,96,363,4812,83
73,916,5162,79,248,9869,12,218,4325,11
61,635,3217,71,913,6117,10,48,8325,87
99,115,3194,84,466,4566,89,909,4152,33
13,978,6212,48,561,3316,54,133,9041,12
94,681,4136,26,892,5403,67,918,2671,88
47,989,9764,9,255,3509,0,135,5176,47
14,500,5416,41,355,2056,60,45,1676,72
71,638,4249,25,743,3454,26,34,3996,57
77,871,7539,34,73,834,0,865,5304,1
86,408,9504,47,877,1210,73,991,3898,12
61,564,9996,25,753,1267,39,868,9355,67
39,392,7720,30,489,8441,57,939,4535,35
84,169,2154,37,358,2960,25,298,4124,55
79,243,7296,63,873,6473,6,754,4870,18
81,795,2101,2,415,7173,5,15,5276,62
52,932,4833,41,657,413,34,621,2040,71
23,60,7271,27,825,7360,1,425,1369,19
25,58,8412,47,295,3279,98,443,116,17
88,927,4691,91,889,7242,80,114,587,89
59,936,7952,21,509,9932,32,108,7164,89
40,74,6541,55,472,9547,69,470,9313,52
28,504,4502,99,354,456,34,668,5417,64
14,369,2495,46,945,3910,8,835,8624,87
44,212,8674,40,367,6676,4,356,9138,5
64,125,4393,45,467,3334,34,859,8913,69
88,151,2833,57,98,8711,62,136,2216,43
70,576,5882,23,408,6693,63,722,7148,86
8,719,4628,66,583,9787,59,618,4937,58
87,115,6052,13,935,3075,30,711,6022,63
0,599,737,49,183,2591,24,483,9957,46
7,521,4152,11,246,2467,17,980,3382,79
87,479,8994,86,723,3578,61,771,223,22
62,859,1611,13,787,8017,57,149,6063,22
10,561,2364,24,351,7070,1,291,9482,67
80,608,6090,27,314,2460,74,911,5140,97
7,763,4547,50,152,3017,37,232,7020,6
34,574,2659,39,847,7058,96,559,9883,3
34,997,8322,14,120,3173,75,374,8013,73
32,597,6039,94,31,306,71,871,3265,96
4,192,6774,60,46,3710,15,950,9097,90
40,354,8640,4,251,5677,38,47,5862,71
27,57,8960,27,903,2505,83,869,5270,21
6,492,4279,87,65,497,15,734,9203,3
72,203,3748,15,77,9908,2,981,6083,0
71,503,6379,47,139,5057,74,987,9214,60
11,301,9991,68,461,9596,1,979,2124,59
33,344,6550,93,230,4038,7,56,2823,62
32,283,9894,86,271,8045,49,321,5379,85
47,119,4015,66,64,1237,96,463,9147,11
22,464,5489,57,562,3003,90,453,8479,49
61,207,1320,33,925,3597,5,975,1144,64
87,735,2664,6,895,7323,48,672,8669,58
36,826,9377,61,999,229,84,206,1636,75
98,492,345,2,373,9392,60,149,2397,2
43,771,7825,96,659,2115,12,160,2369,44
85,622,3309,6,817,1271,47,31,1744,3
90,635,4375,2,358,182,50,800,9182,94
34,680,5714,14,840,6087,42,476,2226,91
64,112,9412,37,883,1658,14,229,7023,82
98,571,4343,92,920,2113,40,767,2873,11
46,317,9333,64,394,3566,62,800,3040,8
77,522,7954,66,790,9649,20,125,8383,56
2,531,9382,54,42,3686,80,176,285,16
0,217,3130,89,482,3465,39,795,894,96
4,134,3480,87,130,13,51,843,3444,98
89,350,9813,73,396,2396,47,121,9926,78
13,573,3996,37,772,6457,11,448,3975,36
26,902,1000,17,83,2284,66,383,7382,91
8,630,4265,22,218,5861,9,452,1182,91
78,831,9619,80,991,6407,52,303,5588,98
14,697,7401,40,855,5682,21,976,6115,42
89,643,9086,5,874,2392,88,989,6551,84
41,199,737,4,613,2857,66,410,1017,55
76,242,3079,22,849,2154,14,323,1306,38
50,141,3316,43,795,9756,30,210,9153,94
62,248,4367,1,563,9441,99,789,8740,72
95,853,8392,36,658,3641,78,974,9166,80
51,662,9755,84,47,4984,56,979,7730,1
95,856,6897,39,969,4950,15,328,9125,5
3,803,3696,1,418,3665,83,94,289,33
93,496,3795,13,477,5020,76,120,4250,5
22,89,237,43,182,2341,89,298,7625,74
14,791,1481,92,982,8294,60,487,8750,5
42,593,5483,72,453,2828,12,660,1772,78
28,20,7394,94,854,9285,1,400,546,64
35,62,4828,3,760,8707,75,150,4136,38
12,302,2462,4,386,5149,2,451,7848,84
31,324,1262,81,946,8528,17,845,7779,24
70,782,8534,2,872,9884,7,501,1263,41
58,926,5345,11,205,4602,68,409,2033,15
85,729,7136,82,526,755,42,600,1634,91
27,259,4621,29,674,3289,4,577,202,95
65,894,2761,93,896,2184,6,601,4814,37
41,643,3026,9,204,7980,17,888,8451,54
44,171,6395,63,252,9174,64,474,7160,63
61,625,6753,64,697,8267,63,365,3622,72
56,444,2191,29,746,2607,99,984,4624,99
5,190,5493,95,32,4720,96,69,4602,8
27,82,4205,44,571,3107,26,388,7322,41
27,153,2539,42,395,3417,92,306,7221,1
43,433,9716,52,0,2296,19,112,4439,50
83,416,3271,69,927,4002,73,376,7771,15
29,899,7946,16,300,3363,52,525,9015,33
61,696,3674,65,665,1618,4,89,5023,37
74,238,2360,54,989,8082,22,944,8912,52
91,829,1880,82,338,9093,69,544,2163,12
88,101,7233,64,1,5593,8,369,5658,94
61,855,3852,63,716,5463,77,611,5716,84
96,990,8916,62,635,6681,37,937,1882,25
0,161,7505,47,516,5998,33,682,2591,33
26,637,4285,5,122,891,33,870,9202,58
61,801,7780,36,406,6755,33,227,3969,23
76,641,6344,13,879,3380,26,888,7830,73
2,298,6358,66,714,3172,51,306,1513,42
69,327,960,97,364,7856,61,363,9357,32
71,432,2693,98,74,5492,5,874,2268,30
26,532,8320,9,370,9878,27,629,7053,38
8,651,8269,43,814,8972,78,136,4971,25
61,547,1322,14,641,1075,62,851,1687,60
36,890,478,9,686,1115,23,73,94,33
96,768,3417,32,336,2581,15,970,8377,29
50,507,6527,41,570,5970,21,435,1842,46
43,425,8459,20,489,5695,76,441,4798,89
23,358,9425,8,782,2176,99,801,9702,32
78,143,8997,82,562,8039,58,308,514,50
58,560,9322,9,174,9330,80,50,9338,52
31,517,6967,65,312,3778,82,940,1428,83
95,123,6667,55,556,1437,82,33,1117,62
87,736,8896,75,591,8501,24,155,2017,94
51,780,850,7,334,7212,36,564,3492,19
61,172,7086,46,272,1222,54,229,4241,9
57,520,6762,30,771,164,31,477,1619,75
51,738,6128,96,387,7212,87,265,839,22
11,667,6968,0,720,4538,77,787,3523,97
38,703,166,6,611,5013,18,662,4748,91
1,417,5038,17,878,4407,53,907,8018,1
2,159,324,13,270,9244,36,869,5087,83
55,118,852,99,944,2965,22,222,4933,99
80,960,7412,36,856,5675,18,717,5070,0
58,870,4262,71,119,1975,48,303,3790,41
1,88,4791,54,381,2504,3,522,699,47
1,691,7556,39,465,8534,64,876,3567,61
91,329,6711,84,192,4449,52,445,3433,17
53,449,9263,41,196,5000,10,496,8699,9
86,131,7942,48,904,6631,38,311,2948,79
95,536,8231,36,782,8997,12,887,7902,56
96,591,542,35,737,7613,12,784,6273,59
0,62,1657,91,300,3892,99,256,2747,33
18,807,2106,33,130,1864,19,10,886,93
1,107,3524,24,635,1532,27,157,1784,29
52,836,2076,44,868,2156,34,698,7501,20
43,695,3862,53,798,2055,14,401,7917,61
89,662,1735,63,264,1069,61,998,2787,51
31,595,479,15,650,178,59,482,636,99
69,386,4079,36,710,266,8,615,8111,67
31,383,1532,30,521,5940,43,788,6348,80
67,320,7387,73,98,3505,19,469,5012,92
54,893,595,93,757,6712,18,560,9900,36
74,306,4750,22,857,6520,70,535,8320,92
55,759,4390,60,935,9180,5,980,7858,68
16,280,8743,5,446,4815,34,536,1985,71
37,207,6820,69,867,7910,64,999,9096,3
23,808,6578,18,374,8097,2,183,6189,82
68,516,5859,61,104,2245,0,404,4725,17
97,739,4679,7,943,5201,36,961,3821,94
69,191,7857,14,749,2129,62,406,4036,24
85,645,2720,58,605,9676,41,479,5022,56
10,587,6574,35,270,5120,66,135,5974,80
15,813,2844,21,815,819,51,828,209,57
96,918,3859,9,476,1480,71,722,1058,67
72,621,4015,26,820,8641,17,868,5078,71
58,165,2486,55,517,9914,60,59,1584,65
69,900,236,63,442,5727,27,657,7701,60
79,60,6402,18,544,8369,52,859,9890,83
92,641,5890,8,992,3003,22,442,7371,44
2,2,8517,60,362,8997,64,594,2056,42
19,646,8015,61,432,9182,63,605,8515,91
58,345,3262,63,902,5602,59,774,3828,24
35,459,1338,50,838,5156,22,745,3010,52
18,433,7226,9,218,6407,80,616,3454,92
89,955,9501,85,598,8862,64,747,1677,74
66,960,9823,64,761,6665,82,761,8033,28
18,704,5791,95,714,4471,24,589,4217,89
19,352,2265,22,463,2385,63,711,9211,73
95,61,8040,61,300,8010,52,763,8992,2
70,309,6543,16,612,6097,66,427,2689,98
51,244,6884,51,296,7221,64,630,4701,38
32,998,6052,66,581,357,25,173,4967,63
39,507,7992,31,574,8499,48,741,1495,72
38,52,9540,1,0,2102,61,449,4298,55
81,520,5311,95,742,9200,25,664,3112,10
0,640,4030,45,495,7942,5,25,7188,78
10,398,4264,74,478,5679,21,914,2822,96
91,856,9005,98,684,5013,58,550,3299,5
56,107,5315,59,730,6698,96,922,8071,61
88,803,9392,82,251,3045,41,211,3491,58
49,393,528,23,1,5809,7,30,6300,16
22,374,6263,62,685,8415,83,598,9664,64
30,561,7634,34,101,1050,37,644,2668,5
93,414,5377,94,863,9131,20,705,5741,21
41,498,9299,81,322,1128,13,75,8994,84
98,723,7243,99,854,6977,14,702,5529,67
6,68,9056,69,574,5679,67,400,9777,22
15,475,327,46,555,4504,89,557,6763,34
89,97,2183,68,117,4122,2,659,2031,56
59,614,1320,14,234,6532,35,652,3622,70
1,869,4826,27,349,9005,66,395,7919,90
0,15,7507,7,41,3323,36,232,884,30
47,78,5472,21,569,2566,49,214,3337,96
11,744,6693,71,968,8746,31,818,8177,88
68,742,9561,67,187,2027,56,762,1841,46
36,297,1395,43,870,9844,34,123,3204,74
31,409,3828,29,902,4498,7,874,6805,32
8,669,1091,31,708,2004,89,985,2316,54
98,257,8992,2,47,2458,69,237,634,31
18,962,3734,1,330,1524,72,623,3772,75
47,210,6841,97,817,6886,19,95,1233,9
79,183,7505,14,315,3126,88,858,2028,17
2,919,2520,0,148,4608,78,385,1688,33
19,194,9328,27,784,892,72,789,8045,47
23,39,2047,86,945,3855,28,959,1994,71
53,702,4318,48,682,257,64,321,9662,46
32,452,7552,30,983,7086,97,463,6536,84
23,314,5839,39,291,5092,74,76,6208,47
74,991,8633,70,413,146,67,658,8765,63
71,60,8610,24,73,8911,4,683,835,52
35,691,4287,59,269,9991,90,42,6165,30
37,478,7732,40,916,4274,27,21,6385,21
83,843,5776,33,71,9290,98,479,4031,84
98,746,7404,62,487,6965,55,260,9102,26
88,35,5066,41,818,47,94,993,4011,17
98,227,9612,98,319,8136,98,263,9150,36
24,542,4090,80,5,3140,43,849,3926,58
92,736,1098,97,541,5855,50,542,2722,25
